run_id,variant,dataset,seed,backend,accuracy,f1,train_loss_final,eval_loss,qubit_count,gate_count_total,circuit_depth,shot_count,noise_model,dry_run,run_mode,data_mode,mixing_preset,local_readout
itail-mix_v0-yelp-s42,V3,yelp,42,sim_quantum_statevector,0.625,0.666667,0.808462,0.715897,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s123,V3,yelp,123,sim_quantum_statevector,0.625,0.4,0.749315,0.682185,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s777,V3,yelp,777,sim_quantum_statevector,0.75,0.75,0.82934,0.682482,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s2024,V3,yelp,2024,sim_quantum_statevector,0.375,0.444444,0.739714,0.749462,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s9001,V3,yelp,9001,sim_quantum_statevector,0.625,0.571429,0.791112,0.644248,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s42,V3,imdb,42,sim_quantum_statevector,0.5,0.5,0.746633,0.73131,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s123,V3,imdb,123,sim_quantum_statevector,0.25,0.4,0.667536,0.944467,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s777,V3,imdb,777,sim_quantum_statevector,0.625,0.4,0.763209,0.87882,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s2024,V3,imdb,2024,sim_quantum_statevector,0.625,0.571429,0.66347,0.772169,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s9001,V3,imdb,9001,sim_quantum_statevector,0.375,0.444444,0.811943,0.768627,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-amazon-s42,V3,amazon,42,sim_quantum_statevector,0.25,0.4,0.816175,0.88032,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-amazon-s123,V3,amazon,123,sim_quantum_statevector,0.625,0.4,0.709473,0.560244,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-amazon-s777,V3,amazon,777,sim_quantum_statevector,0.5,0.0,0.786132,0.705386,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-amazon-s2024,V3,amazon,2024,sim_quantum_statevector,0.375,0.545455,0.774208,0.717924,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-amazon-s9001,V3,amazon,9001,sim_quantum_statevector,0.625,0.571429,0.77568,0.550493,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_it1-yelp-s42,V3,yelp,42,sim_quantum_statevector,0.5,0.666667,0.764744,0.715518,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-yelp-s123,V3,yelp,123,sim_quantum_statevector,0.625,0.666667,0.677355,0.744564,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-yelp-s777,V3,yelp,777,sim_quantum_statevector,0.5,0.6,0.737546,0.66762,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-yelp-s2024,V3,yelp,2024,sim_quantum_statevector,0.125,0.0,0.66365,0.786164,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-yelp-s9001,V3,yelp,9001,sim_quantum_statevector,0.25,0.0,0.741621,0.920413,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-imdb-s42,V3,imdb,42,sim_quantum_statevector,0.75,0.8,0.696033,0.639144,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-imdb-s123,V3,imdb,123,sim_quantum_statevector,0.25,0.25,0.747854,0.778748,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-imdb-s777,V3,imdb,777,sim_quantum_statevector,0.625,0.571429,0.73508,0.72323,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-imdb-s2024,V3,imdb,2024,sim_quantum_statevector,0.625,0.571429,0.687156,0.728936,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-imdb-s9001,V3,imdb,9001,sim_quantum_statevector,0.375,0.444444,0.722919,0.860283,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-amazon-s42,V3,amazon,42,sim_quantum_statevector,0.5,0.333333,0.711449,0.72227,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-amazon-s123,V3,amazon,123,sim_quantum_statevector,0.5,0.333333,0.738674,0.683304,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-amazon-s777,V3,amazon,777,sim_quantum_statevector,0.5,0.0,0.7117,0.771478,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-amazon-s2024,V3,amazon,2024,sim_quantum_statevector,0.625,0.571429,0.775962,0.703123,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
itail-mix_it1-amazon-s9001,V3,amazon,9001,sim_quantum_statevector,0.375,0.0,0.714519,0.70278,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_it1,mix_it1,parity
