run_id,variant,dataset,seed,backend,accuracy,f1,order_f1,train_loss_final,eval_loss,wall_time_sec,timestamp_utc,dry_run,run_mode,data_mode
transition_orbit_channel_order_rank_only_invariant-s42,V_future_relational_witness_transition_orbit_channel_order_rank_only_invariant,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,42,sim_quantum_statevector,0.18181818181818182,0.5268398268398268,0.52684,0.31591340883076513,0.33198957624671904,0.0,2026-03-10T16:29:12.273387Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_relational_witness_transition_orbit_channel_order_rank_only_invariant+head_linear
transition_orbit_channel_order_rank_only_invariant-s123,V_future_relational_witness_transition_orbit_channel_order_rank_only_invariant,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,123,sim_quantum_statevector,0.18181818181818182,0.2653679653679654,0.265368,0.3181891347370987,0.3520305670655721,0.0,2026-03-10T16:29:12.713126Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_relational_witness_transition_orbit_channel_order_rank_only_invariant+head_linear
transition_orbit_channel_order_rank_only_invariant-s777,V_future_relational_witness_transition_orbit_channel_order_rank_only_invariant,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,777,sim_quantum_statevector,0.09090909090909091,0.24199134199134198,0.241991,0.2979473431235179,0.3658215867608504,0.0,2026-03-10T16:29:13.189188Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_relational_witness_transition_orbit_channel_order_rank_only_invariant+head_linear
ctrl_transition_channel_order_rank_only_invariant_lookup-s42,V_control_symbolic_transition_channel_order_rank_only_invariant_lookup,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,42,sim_quantum_statevector,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2026-03-10T16:29:13.592747Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_lookup+head_linear
ctrl_transition_channel_order_rank_only_invariant_lookup-s123,V_control_symbolic_transition_channel_order_rank_only_invariant_lookup,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,123,sim_quantum_statevector,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2026-03-10T16:29:14.038583Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_lookup+head_linear
ctrl_transition_channel_order_rank_only_invariant_lookup-s777,V_control_symbolic_transition_channel_order_rank_only_invariant_lookup,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,777,sim_quantum_statevector,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2026-03-10T16:29:14.492014Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_lookup+head_linear
ctrl_transition_channel_order_rank_only_invariant_cross_direction-s42,V_control_symbolic_transition_channel_order_rank_only_invariant_cross_direction,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,42,sim_quantum_statevector,0.18181818181818182,0.2818181818181818,0.281818,0.3267331814186248,0.3322437022091773,0.0,2026-03-10T16:29:14.842345Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_cross_direction+head_linear
ctrl_transition_channel_order_rank_only_invariant_cross_direction-s123,V_control_symbolic_transition_channel_order_rank_only_invariant_cross_direction,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,123,sim_quantum_statevector,0.18181818181818182,0.3181818181818182,0.318182,0.3248928044260009,0.3302215832046043,0.0,2026-03-10T16:29:15.196385Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_cross_direction+head_linear
ctrl_transition_channel_order_rank_only_invariant_cross_direction-s777,V_control_symbolic_transition_channel_order_rank_only_invariant_cross_direction,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,777,sim_quantum_statevector,0.18181818181818182,0.34545454545454546,0.345455,0.3268016359056347,0.33126638984983103,0.0,2026-03-10T16:29:15.597885Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_cross_direction+head_linear
ctrl_transition_channel_order_rank_only_invariant_quadratic-s42,V_control_symbolic_transition_channel_order_rank_only_invariant_quadratic,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,42,sim_quantum_statevector,0.18181818181818182,0.21558441558441557,0.215584,0.3279029559113376,0.33341907299293055,0.0,2026-03-10T16:29:15.953208Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_quadratic+head_linear
ctrl_transition_channel_order_rank_only_invariant_quadratic-s123,V_control_symbolic_transition_channel_order_rank_only_invariant_quadratic,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,123,sim_quantum_statevector,0.18181818181818182,0.2337662337662338,0.233766,0.32629553469558664,0.33216120732417515,0.0,2026-03-10T16:29:16.257966Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_quadratic+head_linear
ctrl_transition_channel_order_rank_only_invariant_quadratic-s777,V_control_symbolic_transition_channel_order_rank_only_invariant_quadratic,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,777,sim_quantum_statevector,0.09090909090909091,0.2337662337662338,0.233766,0.32793552562473943,0.33297405362792115,0.0,2026-03-10T16:29:16.578222Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_quadratic+head_linear
ctrl_transition_channel_order_rank_only_invariant_orbit_permuted-s42,V_control_symbolic_transition_channel_order_rank_only_invariant_orbit_permuted,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,42,sim_quantum_statevector,0.18181818181818182,0.3,0.3,0.3291616640692664,0.32984626306082593,0.0,2026-03-10T16:29:16.852980Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_orbit_permuted+head_linear
ctrl_transition_channel_order_rank_only_invariant_orbit_permuted-s123,V_control_symbolic_transition_channel_order_rank_only_invariant_orbit_permuted,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,123,sim_quantum_statevector,0.18181818181818182,0.3181818181818182,0.318182,0.3274274330782508,0.3277840890700515,0.0,2026-03-10T16:29:17.178045Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_orbit_permuted+head_linear
ctrl_transition_channel_order_rank_only_invariant_orbit_permuted-s777,V_control_symbolic_transition_channel_order_rank_only_invariant_orbit_permuted,synthetic_transition_orbit_slot_invariant_channel_order_rank_only,777,sim_quantum_statevector,0.18181818181818182,0.36363636363636365,0.363636,0.3292287578281287,0.32807845909303324,0.0,2026-03-10T16:29:17.508708Z,False,real,synthetic_transition_orbit_slot_invariant_channel_order_rank_only+readout_symbolic_transition_channel_order_rank_only_invariant_orbit_permuted+head_linear
